Apu Nahasapeemapetilon,	Hank Azaria,	"The Telltale Head",	2/25/1990
Manjula Nahasapeemapetilon,	Jan Hooks(1997-2002)\Tress MacNeille (2014-present),	"Much Apu About Nothing",	11/16/1997
Sanjay Nahasapeemapetilon,	Harry Shearer,	"Dog of Death",	11/16/1997
Nelson Muntz,	Nancy Cartwright,	"Bart the General",	2/4/1990
Old Jewish Man,	Hank Azaria,	"Krusty Gets Kancelled",	5/13/1993
Patches and Poor Violet,	Pamela Hayden\Tress MacNeille,	"Miracle on Evergreen Terrace",	12/21/1997
Herbert Powell,	Danny DeVito,	"Oh Brother Where Art Thou?",	2/21/1991
Janey Powell,	Pamela Hayden,	"Moaning Lisa",	2/4/1990
Ruth Powers,	Pamela Reed,	"New Kid on the Block",	11/12/1992
Martin Prince,	Russi Taylor,	"Bart the Genius",	1/14/1990
Loren Pryor,	Harry Shearer,	"Bart the Genius",	1/14/1990
Arnie Pye,	Dan Castellaneta,	"Homer Alone",	2/6/1992
Mayor "Diamond" Joe Quimby,	Dan Castellaneta,	"The Call of the Simpsons",	10/11/1990
Radioactive Man,	Harry Shearer,	"Three Men and a Comic Book",	1/14/1990
Raphael,	Hank Azaria,	"The Way We Was",	1/31/1991
The Rich Texan,	Dan Castellaneta,	"$pringfield (Or How I Learned to Stop Worrying and Love Legalized Gambling)",	12/16/1993
Richard,	Pamela Hayden\Nancy Cartwright,	"Bart the Genius",	1/14/1990
Luigi Risotto,	Hank Azaria,	"Sweet Seymour Skinner's Baadasssss Song",	4/28/1994
Robert Terwilliger,	Kelsey Grammer,	"The Telltale Head",	2/25/1990
Santa's Little Helper,	Dan Castellaneta\Frank Welker,	"Simpsons Roasting on an Open Fire",	12/17/1989
Sherri and Terri,	Russi Taylor,	"Homer's Odyssey",	1/21/1990
Dave Shutton,	Harry Shearer,	"Two Cars in Every Garage and Three Eyes on Every Fish",	11/1/1990
Sideshow Mel,	Dan Castellaneta,	"Itchy & Scratchy & Marge",	12/20/1990
Amber Simpson,	Pamela Hayden,	"Viva Ned Flanders",	1/10/1999
Grampa Simpson,	Dan Castellaneta,	"Grampa and the Kids" (The Simpsons shorts),	1/10/1988
Mona Simpson,	Glenn Close\Tress MacNeille\Maggie Roswell,	"Oh Brother Where Art Thou?",	2/21/1991
Agnes Skinner,	Tress MacNeille,	"The Crepes of Wrath",	4/15/1990
Seymour Skinner,	Harry Shearer,	"Simpsons Roasting on an Open Fire",	12/17/1989
Waylon Smithers,	Harry Shearer,	"Simpsons Roasting on an Open Fire",	1/21/1990
Snake Jailbird,	Hank Azaria,	"The War of the Simpsons",	5/2/1991
Snowball II,	Frank Welker,	"Simpsons Roasting on an Open Fire",	12/17/1989
Roy Snyder,	Harry Shearer,	"Krusty Gets Busted",	4/29/1990
Jebediah Springfield,	Harry Shearer,	"The Telltale Head",	2/25/1990
Brandine Spuckler,	Tress MacNeille,	"Scenes from the Class Struggle in Springfield",	2/4/1996
Cletus Spuckler,	Hank Azaria,	"Bart Gets an Elephant",	3/31/1994
Squeaky-Voiced Teen,	Dan Castellaneta,	"Dog of Death",	2/14/1991
Moe Szyslak,	Hank Azaria,	"Simpsons Roasting on an Open Fire",	12/17/1989
Drederick Tatum,	Hank Azaria,	"Homer vs Lisa and the 8th Commandment",	2/7/1991
Allison Taylor,	Winona Ryder\Pamela Hayden,	"Lisa's Rival",	9/11/1994
Mr. Teeny,	Dan Castellaneta,	"Like Father Like Clown",	10/24/1991
Cecil Terwilliger,	David Hyde Pierce,	"Brother from Another Series",	2/23/1997
The Happy Little Elves,	Dan Castellaneta\Hank Azaria\Harry Shearer,	"Simpsons Roasting on an Open Fire",	2/12/1989
Johnny Tightlips,	Hank Azaria,	"Insane Clown Poppy",	11/12/2000
Kirk Van Houten,	Hank Azaria,	"Bart's Friend Falls in Love",	5/7/1992
Luann Van Houten,	Maggie Roswell,	"Homer Defined",	10/17/1991
Milhouse Van Houten,	Pamela Hayden,	"Simpsons Roasting on an Open Fire",	12/17/1989
Dr. Velimirovic,	Hank Azaria,	"Pygmoelian",	2/27/2000
Police Chief Clancy Wiggum,	Hank Azaria,	"Homer's Odyssey",	1/21/1990
Ralph Wiggum,	Nancy Cartwright,	"Simpsons Roasting on an Open Fire",	2/7/1991
Sarah Wiggum,	Pamela Hayden,	"Duffless",	2/18/1993
Rainier Wolfcastle (McBain),	Harry Shearer,	"The Way We Was",	1/31/1991
The Yes Guy,	Dan Castellaneta,	"Mayored to the Mob",	12/20/1998
Artie Ziff,	Jon Lovitz\Dan Castellaneta,	"The Way We Was",	1/31/1991
Kearney Zzyzwicz,	Nancy Cartwright,	"The Telltale Head",	2/25/1990
Üter Zörker,	Russi Taylor,	"Treehouse of Horror IV",	10/28/1993
